  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     2:00 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    6 ?        I<     0:00 [kworker/0:0H-kb]
    9 ?        I<     0:00 [mm_percpu_wq]
   10 ?        S      0:03 [ksoftirqd/0]
   11 ?        I      0:56 [rcu_sched]
   12 ?        S      0:00 [migration/0]
   13 ?        S      0:00 [idle_inject/0]
   14 ?        S      0:00 [cpuhp/0]
   15 ?        S      0:00 [cpuhp/1]
   16 ?        S      0:00 [idle_inject/1]
   17 ?        S      0:00 [migration/1]
   18 ?        S      0:01 [ksoftirqd/1]
   20 ?        I<     0:00 [kworker/1:0H-kb]
   21 ?        S      0:00 [cpuhp/2]
   22 ?        S      0:00 [idle_inject/2]
   23 ?        S      0:00 [migration/2]
   24 ?        S      0:01 [ksoftirqd/2]
   26 ?        I<     0:00 [kworker/2:0H-kb]
   27 ?        S      0:00 [cpuhp/3]
   28 ?        S      0:00 [idle_inject/3]
   29 ?        S      0:00 [migration/3]
   30 ?        S      0:03 [ksoftirqd/3]
   32 ?        I<     0:00 [kworker/3:0H-kb]
   33 ?        S      0:00 [cpuhp/4]
   34 ?        S      0:00 [idle_inject/4]
   35 ?        S      0:00 [migration/4]
   36 ?        S      0:00 [ksoftirqd/4]
   38 ?        I<     0:00 [kworker/4:0H-kb]
   39 ?        S      0:00 [cpuhp/5]
   40 ?        S      0:00 [idle_inject/5]
   41 ?        S      0:00 [migration/5]
   42 ?        S      0:00 [ksoftirqd/5]
   44 ?        I<     0:00 [kworker/5:0H-kb]
   45 ?        S      0:00 [cpuhp/6]
   46 ?        S      0:00 [idle_inject/6]
   47 ?        S      0:00 [migration/6]
   48 ?        S      0:01 [ksoftirqd/6]
   50 ?        I<     0:00 [kworker/6:0H-kb]
   51 ?        S      0:00 [cpuhp/7]
   52 ?        S      0:00 [idle_inject/7]
   53 ?        S      0:00 [migration/7]
   54 ?        S      0:00 [ksoftirqd/7]
   56 ?        I<     0:00 [kworker/7:0H-kb]
   57 ?        S      0:00 [kdevtmpfs]
   58 ?        I<     0:00 [netns]
   59 ?        S      0:00 [rcu_tasks_kthre]
   60 ?        S      0:00 [kauditd]
   61 ?        S      0:00 [khungtaskd]
   62 ?        S      0:00 [oom_reaper]
   63 ?        I<     0:00 [writeback]
   64 ?        S      0:00 [kcompactd0]
   65 ?        SN     0:00 [ksmd]
   66 ?        SN     0:00 [khugepaged]
  114 ?        I<     0:00 [kintegrityd]
  115 ?        I<     0:00 [kblockd]
  116 ?        I<     0:00 [blkcg_punt_bio]
  119 ?        I<     0:00 [tpm_dev_wq]
  120 ?        I<     0:00 [ata_sff]
  121 ?        I<     0:00 [md]
  122 ?        I<     0:00 [edac-poller]
  123 ?        I<     0:00 [devfreq_wq]
  124 ?        S      0:00 [watchdogd]
  130 ?        S      0:00 [kswapd0]
  131 ?        S      0:00 [ecryptfs-kthrea]
  133 ?        I<     0:00 [kthrotld]
  134 ?        S      0:00 [irq/124-pciehp]
  135 ?        S      0:00 [irq/126-pciehp]
  136 ?        S      0:00 [irq/128-pciehp]
  137 ?        I<     0:00 [acpi_thermal_pm]
  139 ?        I<     0:00 [vfio-irqfd-clea]
  144 ?        I<     0:00 [ipv6_addrconf]
  153 ?        I<     0:00 [kstrp]
  172 ?        I<     0:00 [charger_manager]
  230 ?        I<     0:00 [nvme-wq]
  231 ?        I<     0:00 [nvme-reset-wq]
  232 ?        I<     0:00 [nvme-delete-wq]
  234 ?        S      0:00 [scsi_eh_0]
  235 ?        I<     0:00 [scsi_tmf_0]
  236 ?        S      0:07 [usb-storage]
  237 ?        I<     0:00 [uas]
  240 ?        I<     0:00 [kdmflush]
  241 ?        I<     0:00 [kdmflush]
  282 ?        I<     0:00 [raid5wq]
  326 ?        I<     0:03 [kworker/1:1H-ev]
  330 ?        S      0:08 [jbd2/dm-0-8]
  331 ?        I<     0:00 [ext4-rsv-conver]
